PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chrX_r_c361[k=321][m=63]_GGACT,chrX,73040955,73040955,-,63,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-28915,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chr14_f_c11[k=130][m=54]_TGACA,chr14,20811747,20811747,+,54,NA,promoter-TSS (NM_005484),promoter-TSS (NM_005484),-26,NM_001042618,10038,Hs.409412,XM_005267247,ENSG00000129484,PARP2,ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2,poly (ADP-ribose) polymerase 2,protein-coding
B045_1-4_chr7_r_c84[k=229][m=31]_GGACT,chr7,5567374,5567374,-,31,NA,"3' UTR (NM_001101, exon 6 of 6)","3' UTR (NM_001101, exon 6 of 6)",-2858,NM_001101,60,Hs.520640,XM_005249818,ENSG00000075624,ACTB,BRWS1|PS1TP5BP1,"actin, beta",protein-coding
B045_1-4_chrX_r_c351[k=336][m=27]_GAACT,chrX,73040668,73040668,-,27,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-28628,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chr14_f_c5[k=341][m=26]_GAACA,chr14,20811648,20811648,+,26,NA,promoter-TSS (NM_005484),promoter-TSS (NM_005484),-78,NR_002312,85495,Hs.613102,NR_002312,ENSG00000259001,RPPH1,H1RNA|RPPH1-1,ribonuclease P RNA component H1,ncRNA
B045_1-4_chr17_r_c1287[k=48][m=23]_GTACC,chr17,79478020,79478020,-,23,NA,"exon (NM_001199954, exon 5 of 6)","exon (NM_001199954, exon 5 of 6)",-1872,NR_037688,71,Hs.713764,NM_001199954,ENSG00000184009,ACTG1,ACT|ACTG|BRWS2|DFNA20|DFNA26,"actin, gamma 1",protein-coding
B045_1-4_chr22_r_c102[k=60][m=22]_GGACA,chr22,21982587,21982587,-,22,NA,"3' UTR (NM_001017964, exon 5 of 5)","3' UTR (NM_001017964, exon 5 of 5)",-1753,NM_001017964,150223,Hs.355952,XM_005261347,ENSG00000161179,YDJC,0,YdjC homolog (bacterial),protein-coding
B045_1-4_chr17_f_c589[k=168][m=22]_AAACT,chr17,41154718,41154718,+,22,NA,"exon (NM_000988, exon 4 of 5)","exon (NM_000988, exon 4 of 5)",-4024,NM_005533,3430,Hs.632258,XM_005257302,ENSG00000068079,IFI35,IFP35,interferon-induced protein 35,protein-coding
B045_1-4_chr14_f_c4[k=266][m=21]_AGACA,chr14,20811619,20811619,+,21,NA,promoter-TSS (NM_005484),promoter-TSS (NM_005484),-49,NR_002312,85495,Hs.613102,NR_002312,ENSG00000259001,RPPH1,H1RNA|RPPH1-1,ribonuclease P RNA component H1,ncRNA
B045_1-4_chr1_r_c605[k=156][m=21]_GAACT,chr1,35656459,35656459,-,21,NA,"exon (NM_005066, exon 3 of 10)","exon (NM_005066, exon 3 of 10)",-2284,NM_005066,6421,Hs.611911,XM_005271111,ENSG00000116560,SFPQ,POMP100|PSF,splicing factor proline/glutamine-rich,protein-coding
