Chr,C2U start,C2U end,U/C,Strand
chr1,788852,788853,0.102564,+
chr1,789691,789692,0.128205,+
chr1,860194,860195,0.102041,+
chr1,879663,879664,0.112676,+
chr1,879729,879730,0.139785,+
chr1,879914,879915,0.113208,+
chr1,933691,933692,0.104167,-
chr1,934373,934374,0.178571,-
chr1,934397,934398,0.136187,-
chr1,935598,935599,0.12963,-
chr1,987153,987154,0.108696,+
chr1,989163,989164,0.150943,+
chr1,990411,990412,0.131579,+
chr1,990854,990855,0.107143,+
chr1,991328,991329,0.109589,+
chr1,991438,991439,0.189655,+
chr1,1152903,1152904,0.230337,-
chr1,1159218,1159219,0.19084,-
chr1,1169281,1169282,0.111111,+
chr1,1189723,1189724,0.101266,-
chr1,1190221,1190222,0.131579,-
chr1,1190309,1190310,0.130435,-
chr1,1190316,1190317,0.113821,-
chr1,1190565,1190566,0.127907,-
chr1,1246997,1246998,0.145631,+
chr1,1248206,1248207,0.117647,+
chr1,1249060,1249061,0.105263,+
chr1,1270683,1270684,0.125,-
chr1,1270721,1270722,0.306818,-
chr1,1309127,1309128,0.127273,-
chr1,1336121,1336122,0.1,+
chr1,1336420,1336421,0.106383,+
chr1,1336445,1336446,0.211538,+
chr1,1337302,1337303,0.126316,-
chr1,1337371,1337372,0.148148,-
chr1,1337375,1337376,0.104294,-
chr1,1337386,1337387,0.164634,-
chr1,1337430,1337431,0.284314,-
chr1,1374600,1374601,0.104167,+
chr1,1375147,1375148,0.166667,+
chr1,1376105,1376106,0.146341,+
chr1,1477073,1477074,0.11811,-
chr1,1477084,1477085,0.10582,-
chr1,1477114,1477115,0.216346,-
chr1,1477230,1477231,0.203125,-
chr1,1477252,1477253,0.134752,-
chr1,1477258,1477259,0.103896,-
chr1,1477366,1477367,0.115385,-
chr1,1477370,1477371,0.188235,-
chr1,1480348,1480349,0.131313,-
chr1,1480359,1480360,0.120253,-
chr1,1498705,1498706,0.133333,-
chr1,1499529,1499530,0.16129,-
chr1,1499890,1499891,0.138889,-
chr1,1500181,1500182,0.122807,-
chr1,1500190,1500191,0.105556,-
chr1,1500226,1500227,0.179167,-
chr1,1500253,1500254,0.127273,-
chr1,1500257,1500258,0.107527,-
